Hotel_Id,Hotel_name,Category,Hotel_location
52,Aximo Hotel San Francisco,Pool|Free WiFI,San Francisco
53,"Argounaut Hotel, A Nobel House Hotel ",Free WiFi|Pet Friendly,San Francisco
54,LA QUINTA INN & SUITES #983  4701,Pet Friendly|Breakfast,San Francisco
55,CASA LA LICIOUS,Free parking|Breakfast,San Francisco
56,CASA PELICAN LLC,Vallet Parking| Pet Friendly ,San Francisco
57,DAYS INN,Pet Friendly|Breakfast|Pool,San Francisco
58,FEDERAL CITY INN & SUITES,Pool|Free WiFI,San Francisco
59,HAMPTON INN - ST. CHARLES,Free WiFi|Pet Friendly,San Francisco
60,HISTORIC STREETCAR INN,Pet Friendly|Breakfast|Pool,San Francisco
61,JELLY ROLL SUITES,Pet Friendly|Breakfast,San Francisco
62,MOTEL 6,Free parking|Breakfast,San Francisco
63,PIERRE COULON GUEST HOUSE,Free WIFI|Parking|Breakfast|Pool|Downtown,San Francisco
64,RODEWAY INN & SUITES,Free WiFi|Pet Friendly,San Francisco
65,STUDIO 6 #6000,Pet Friendly|Breakfast,San Francisco
66,HYATT PLACE NEW ORLEANS CONVENTION CENTER,Vallet Parking| Pet Friendly ,San Francisco
67,HOSTEEVA,Pool|Free WiFI,San Francisco
68,CHATEAU ESPLANADE,Pet Friendly|Breakfast|Pool,San Francisco
69,HG NEW ORLEANS CONVENTION CENTER,Free WIFI|Parking|Breakfast|Pool|Downtown,San Francisco
70,LOOKOUT INN NEW ORLEANS,Free WiFi|Pet Friendly,San Francisco
71,INN AT THE OLD JAIL,Vallet Parking| Pet Friendly ,San Francisco
72,ACE HOTEL,Pet Friendly|Breakfast|Pool,San Francisco
73,MONTE CARLO MOTEL,Free parking|Breakfast,San Francisco
74,A CREOLE COTTAGE,Pool|Free WiFI,San Francisco
75,AULD SWEET OLIVE,Free WIFI|Parking|Breakfast|Pool|Downtown,San Francisco
76,WYNDHAM NEW ORLEANS,Pet Friendly|Breakfast,San Francisco
77,THE QUEEN ANNE HOTEL,Free parking|Breakfast,San Francisco
78,QUEEN & CRESCENT HOTEL,Pool|Free WiFI,San Francisco
79,SUNSHINES BED & BREAKFAST,Free WiFi|Pet Friendly,San Francisco
80,TIRC HOTEL,Vallet Parking| Pet Friendly ,San Francisco
81,GRENOBLE HOUSE,Free parking|Breakfast,San Francisco
82,1851 INN ON ST CHARLES,Pool|Free WiFI,San Francisco
83,RIVER HOUSE NEW ORLEANS,Free WiFi|Pet Friendly,San Francisco
84,THE TREME INN,Pet Friendly|Breakfast,San Francisco
85,NEW ORLEANS INN,Pet Friendly|Breakfast|Pool,San Francisco
86,BIENVILLE HOUSE MOTOR HOTEL,Vallet Parking| Pet Friendly ,San Francisco
87,PARKS BOWMAN HOUSE,Free WiFi|Pet Friendly,San Francisco
88,ANTEBELLUM GUEST HOUSE,Free parking|Breakfast,San Francisco
89,THE BEE HOUSE,Vallet Parking| Pet Friendly ,San Francisco
90,FRENCHMEN STREET BED & BREAKFAST,Pet Friendly|Breakfast|Pool,San Francisco
91,"SUPERIOR RESTAURANT GROUP, LLC",Free parking|Breakfast,San Francisco
92,THE DUCHESS,Pet Friendly|Breakfast|Pool,San Francisco
93,RUFFINO'S GUEST HOUSE,Free WiFi|Pet Friendly,San Francisco
94,KERLEREC HOUSE,Free parking|Breakfast,San Francisco
95,THE ROOSEVELT HOTEL WAC,Pool|Free WiFI,San Francisco
96,HOLIDAY INN EXPRESS,Pet Friendly|Breakfast,San Francisco
97,MONROSE ROW B & B,Pet Friendly|Breakfast|Pool,San Francisco
98,BOHEME DE MARIGNY,Free WIFI|Parking|Breakfast|Pool|Downtown,San Francisco
99,BON MAISON GUEST HOUSE,Free parking|Breakfast,San Francisco
100,KATHERINE B SENTER,Pool|Free WiFI,San Francisco
